name,birth_date,birth_time,birth_location,latitude,longitude,timezone,data_source,career_potential,wealth_potential,marriage_happiness,children_prospects,health_status,spiritual_inclination,chart_strength,life_ease_score
Carl Sagan,1934-11-09,02:00:00,"New York, New York",40.7128,-74.006,-5.0,VedAstro,92,80,70,80,70,90,90,85
Jane Goodall,1934-04-03,04:00:00,"London, England",51.5074,-0.1278,0.0,VedAstro,88,75,70,75,80,95,87,85
Richard Dawkins,1941-03-26,20:00:00,"Nairobi, Kenya",-1.2865,36.8172,3.0,VedAstro,90,80,65,70,75,85,88,80
Margaret Thatcher (verified),1925-10-13,09:00:00,"Grantham, England",52.9141,-0.6437,0.0,VedAstro,92,90,55,70,75,60,90,70
Vladimir Putin,1952-10-01,09:30:00,"Saint Petersburg, Russia",59.9311,30.3609,3.0,VedAstro,90,85,60,75,80,60,88,70
Barack Obama,1961-08-04,19:24:00,"Honolulu, Hawaii",21.3099,-157.8581,-10.0,VedAstro,88,88,75,85,80,75,86,80
Steve Wozniak,1950-08-11,11:00:00,"San Jose, California",37.3382,-121.8863,-8.0,VedAstro,90,85,70,80,80,75,88,80
Mark Zuckerberg,1984-05-14,15:30:00,"White Plains, New York",41.0534,-73.8686,-5.0,VedAstro,92,98,60,75,80,65,90,80
Larry Page,1973-03-26,08:45:00,"East Lansing, Michigan",42.7335,-84.4867,-5.0,VedAstro,92,98,65,75,80,70,90,82
Sergey Brin,1973-08-21,20:00:00,"Moscow, Russia",55.7558,37.6173,3.0,VedAstro,90,97,70,80,80,75,88,85
Walt Disney,1901-12-05,01:00:00,"Chicago, Illinois",41.8781,-87.6298,-6.0,VedAstro,92,95,65,85,75,80,90,85
Alfred Hitchcock,1899-08-13,21:00:00,"London, England",51.5074,-0.1278,0.0,VedAstro,90,90,60,70,75,75,88,75
Orson Welles,1915-05-06,23:15:00,"Kenosha, Wisconsin",42.5834,-87.8206,-6.0,VedAstro,88,85,55,65,70,80,86,70
Arnold Schwarzenegger,1947-07-30,04:10:00,"Thal, Austria",47.3667,14.75,1.0,VedAstro,92,95,70,85,88,75,90,85
Bruce Lee,1940-11-27,07:41:00,"San Francisco, California",37.7749,-122.4194,-8.0,VedAstro,95,88,65,80,75,80,92,85
