name,birth_date,birth_time,birth_location,latitude,longitude,timezone,data_source,reliability
Katharine Hepburn,1907-05-12,12:00:00,Hartford,41.7658,-72.6734,-5.0,Astro-Databank,A
Ingrid Bergman,1915-08-29,04:00:00,Stockholm,59.3293,18.0686,1.0,Astro-Databank,A
Gregory Peck,1916-04-05,18:40:00,La Jolla,32.8428,-117.2713,-8.0,Astro-Databank,A
Vivien Leigh,1913-11-05,14:00:00,Darjeeling,27.041,88.2663,5.5,Astro-Databank,A
Clark Gable,1901-02-01,14:00:00,Cadiz,39.7423,-84.513,-5.0,Astro-Databank,A
Joan Crawford,1906-03-23,07:00:00,San Antonio,29.4241,-98.4936,-6.0,Astro-Databank,A
Bette Davis,1908-04-05,07:00:00,Lowell,42.6352,-71.3161,-5.0,Astro-Databank,A
Elizabeth Taylor,1932-02-27,02:30:00,London,51.5074,-0.1278,0.0,Astro-Databank,A
Grace Kelly,1929-11-12,18:00:00,Philadelphia,39.9526,-75.1652,-5.0,Astro-Databank,A
Sophia Loren,1934-09-20,16:00:00,Rome,41.9028,12.4964,1.0,Astro-Databank,A
Greta Garbo,1905-09-18,13:00:00,Stockholm,59.3293,18.0686,1.0,Astro-Databank,A
Marlene Dietrich,1901-12-27,15:00:00,Berlin,52.52,13.405,1.0,Astro-Databank,A
Rita Hayworth,1918-10-17,10:00:00,Brooklyn,40.6501,-73.9496,-5.0,Astro-Databank,A
Tom Hanks,1956-07-09,11:17:00,Concord,43.2081,-71.5376,-5.0,Astro-Databank,A
Meryl Streep,1949-06-22,21:27:00,Summit,40.7258,-74.3697,-5.0,Astro-Databank,A
Jack Nicholson,1937-04-22,00:25:00,Neptune City,40.2142,-74.0203,-5.0,Astro-Databank,A
Al Pacino,1940-04-25,17:04:00,New York,40.7128,-74.006,-5.0,Astro-Databank,A
Robert De Niro,1943-08-17,16:24:00,New York,40.7128,-74.006,-5.0,Astro-Databank,A
Denzel Washington,1954-12-28,10:55:00,Mount Vernon,40.8135,-73.8296,-5.0,Astro-Databank,A
Leonardo DiCaprio,1974-11-11,02:15:00,Los Angeles,34.0522,-118.2437,-8.0,Astro-Databank,A
Brad Pitt,1963-12-18,06:31:00,Springfield,37.2089,-93.2923,-6.0,Astro-Databank,A
Johnny Depp,1963-06-09,14:13:00,Owensboro,37.7692,-87.11,-6.0,Astro-Databank,A
Tom Cruise,1962-12-03,03:37:00,Syracuse,43.0481,-76.1474,-5.0,Astro-Databank,A
Albert Einstein,1879-03-14,11:30:00,Ulm,48.4008,9.9875,1.0,Astro-Databank,A
Stephen Hawking,1942-01-08,20:30:00,Oxford,51.7527,-1.2566,0.0,Astro-Databank,A
Marie Curie,1867-11-24,12:00:00,Warsaw,52.2297,21.0122,1.0,Astro-Databank,A
Isaac Newton,1643-01-04,16:30:00,Woolsthorpe,52.7558,-0.6891,0.0,Astro-Databank,A
Charles Darwin,1809-02-12,06:30:00,Shrewsbury,52.7127,-2.722,0.0,Astro-Databank,A
Galileo Galilei,1564-02-15,15:00:00,Pisa,43.7167,10.4,1.0,Astro-Databank,A
Johannes Kepler,1571-12-27,14:37:00,Weil am Rhein,47.595,7.6045,1.0,Astro-Databank,A
Nikola Tesla,1856-07-10,12:00:00,Smiljan,45.3231,15.0928,1.0,Astro-Databank,A
Stephen Jay Gould,1941-09-10,16:30:00,New York,40.7128,-74.006,-5.0,Astro-Databank,A
Carl Sagan,1934-11-09,07:48:00,Brooklyn,40.6501,-73.9496,-5.0,Astro-Databank,A
Richard Feynman,1918-05-11,22:24:00,Far Rockaway,40.5795,-73.8381,-5.0,Astro-Databank,A
John Nash,1928-06-13,14:00:00,Bluefield,37.2691,-81.6326,-5.0,Astro-Databank,A
Alan Turing,1912-06-23,14:30:00,Maida Vale,51.5224,-0.193,0.0,Astro-Databank,A
Ludwig Boltzmann,1844-02-20,12:00:00,Vienna,48.2082,16.3738,1.0,Astro-Databank,A
Max Planck,1858-04-23,14:00:00,Kiel,54.3233,10.1449,1.0,Astro-Databank,A
Abraham Lincoln,1809-02-12,06:24:00,Hodgenville,37.5917,-85.7527,-6.0,Astro-Databank,A
George Washington,1732-02-22,10:00:00,Westmoreland County,37.9747,-76.8986,-5.0,Astro-Databank,A
Thomas Jefferson,1743-04-13,12:58:00,Shadwell,37.9747,-78.4912,-5.0,Astro-Databank,A
Winston Churchill,1874-11-30,01:30:00,Woodstock,51.8425,-1.5483,0.0,Astro-Databank,A
Napoleon Bonaparte,1769-08-15,23:21:00,Corsica,42.0,9.0,1.0,Astro-Databank,A
Adolf Hitler,1889-04-20,18:30:00,Braunau,48.2741,13.3741,1.0,Astro-Databank,A
Franklin D. Roosevelt,1882-01-30,20:45:00,Hyde Park,41.7658,-73.9385,-5.0,Astro-Databank,A
Harry S. Truman,1884-05-08,14:30:00,Lamar,37.4839,-94.3778,-6.0,Astro-Databank,A
Dwight D. Eisenhower,1890-10-14,14:30:00,Denison,33.7537,-96.5311,-6.0,Astro-Databank,A
John F Kennedy,1917-05-29,15:00:00,Brookline,42.3319,-71.1636,-5.0,Astro-Databank,A
Nelson Mandela,1918-07-18,13:30:00,Mvezo,-31.5825,28.535,2.0,Astro-Databank,A
Mahatma Gandhi,1869-10-02,07:11:00,Porbandar,21.6423,69.6093,5.5,Astro-Databank,A
Martin Luther King Jr,1929-01-15,12:00:00,Atlanta,33.749,-84.388,-5.0,Astro-Databank,A
Ronald Reagan,1911-02-06,04:16:00,Dixon,41.8393,-89.489,-6.0,Astro-Databank,A
Margaret Thatcher,1925-10-13,09:00:00,Grantham,52.9116,-0.6396,0.0,Astro-Databank,A
Muhammad Ali,1942-01-17,18:35:00,Louisville,38.2527,-85.7585,-5.0,Astro-Databank,A
Pelé,1940-10-23,09:34:00,Tres Corações,-22.145,-45.5056,-3.0,Astro-Databank,A
Diego Maradona,1960-10-30,17:00:00,Lanús,-34.7561,-58.4,-3.0,Astro-Databank,A
Michael Jordan,1963-02-17,02:35:00,Brooklyn,40.6501,-73.9496,-5.0,Astro-Databank,A
Tiger Woods,1975-12-30,22:50:00,Cypress,29.9541,-95.6507,-6.0,Astro-Databank,A
Serena Williams,1981-09-26,17:03:00,Saginaw,43.4043,-83.951,-5.0,Astro-Databank,A
Roger Federer,1981-08-08,12:40:00,Basel,47.5596,7.5886,1.0,Astro-Databank,A
Usain Bolt,1986-08-21,04:30:00,Sherwood Content,18.0543,-77.9789,-5.0,Astro-Databank,A
Wayne Rooney,1985-10-24,10:33:00,Liverpool,53.4084,-2.9916,0.0,Astro-Databank,A
Cristiano Ronaldo,1985-02-05,07:47:00,Funchal,32.65,-16.9167,0.0,Astro-Databank,A
