name,birth_date,birth_time,birth_location,latitude,longitude,timezone,data_source,career_potential,wealth_potential,marriage_happiness,children_prospects,health_status,spiritual_inclination,chart_strength,life_ease_score
John F Kennedy,1917-05-29,15:00:00,Brookline,42.3319,-71.1636,-5.0,Astro-Databank,90.0,85.0,65.0,80.0,50.0,70.0,85.0,70.0
Franklin D. Roosevelt,1882-01-30,20:45:00,Hyde Park,41.7658,-73.9385,-5.0,Astro-Databank,95.0,80.0,75.0,85.0,60.0,75.0,90.0,78.0
Nelson Mandela,1918-07-18,13:30:00,Mvezo,-31.5825,28.535,2.0,Astro-Databank,100.0,75.0,85.0,90.0,80.0,95.0,95.0,88.0
Mahatma Gandhi,1869-10-02,07:11:00,Porbandar,21.6423,69.6093,5.5,Astro-Databank,100.0,40.0,70.0,75.0,60.0,99.0,95.0,70.0
Martin Luther King Jr,1929-01-15,12:00:00,Atlanta,33.749,-84.388,-5.0,Astro-Databank,95.0,60.0,75.0,85.0,60.0,98.0,93.0,78.0
Ronald Reagan,1911-02-06,04:16:00,Dixon,41.8393,-89.489,-6.0,Astro-Databank,90.0,85.0,75.0,85.0,85.0,65.0,85.0,78.0
Margaret Thatcher,1925-10-13,09:00:00,Grantham,52.9116,-0.6396,0.0,Astro-Databank,95.0,80.0,70.0,75.0,75.0,65.0,88.0,78.0
Barack Obama,1961-08-04,19:24:00,Honolulu,21.3099,-157.8581,-10.0,Astro-Databank,95.0,85.0,85.0,85.0,85.0,80.0,90.0,87.0
Muhammad Ali,1942-01-17,18:35:00,Louisville,38.2527,-85.7585,-5.0,Astro-Databank,95.0,85.0,55.0,70.0,80.0,70.0,90.0,78.0
Pelé,1940-10-23,09:34:00,Tres Corações,-22.145,-45.5056,-3.0,Astro-Databank,95.0,85.0,75.0,80.0,85.0,70.0,90.0,82.0
Diego Maradona,1960-10-30,17:00:00,Lanús,-34.7561,-58.4,-3.0,Astro-Databank,90.0,80.0,45.0,75.0,75.0,75.0,88.0,73.0
Michael Jordan,1963-02-17,02:35:00,Brooklyn,40.6501,-73.9496,-5.0,Astro-Databank,100.0,95.0,70.0,75.0,90.0,70.0,95.0,85.0
Tiger Woods,1975-12-30,22:50:00,Cypress,29.9541,-95.6507,-6.0,Astro-Databank,95.0,95.0,60.0,70.0,80.0,60.0,92.0,78.0
Serena Williams,1981-09-26,17:03:00,Saginaw,43.4043,-83.951,-5.0,Astro-Databank,95.0,90.0,75.0,80.0,90.0,75.0,93.0,83.0
Roger Federer,1981-08-08,12:40:00,Basel,47.5596,7.5886,1.0,Astro-Databank,95.0,90.0,80.0,85.0,90.0,70.0,93.0,84.0
Usain Bolt,1986-08-21,04:30:00,Sherwood Content,18.0543,-77.9789,-5.0,Astro-Databank,90.0,90.0,75.0,80.0,95.0,65.0,92.0,83.0
Wayne Rooney,1985-10-24,10:33:00,Liverpool,53.4084,-2.9916,0.0,Astro-Databank,85.0,85.0,70.0,80.0,85.0,60.0,85.0,78.0
Cristiano Ronaldo,1985-02-05,07:47:00,Funchal,32.65,-16.9167,0.0,Astro-Databank,95.0,95.0,70.0,80.0,95.0,70.0,95.0,85.0
Pandit Jawaharlal Nehru,1889-11-14,23:30:00,Allahabad,25.4358,81.8463,5.5,Astro-Databank,95.0,75.0,70.0,75.0,75.0,80.0,90.0,78.0
Narendra Modi,1950-09-17,12:00:00,Vadnagar,23.6345,72.3889,5.5,Astro-Databank,85.0,75.0,75.0,65.0,80.0,75.0,85.0,75.0
Indira Gandhi,1917-11-19,21:17:00,Allahabad,25.4358,81.8463,5.5,Astro-Databank,90.0,75.0,70.0,80.0,75.0,75.0,88.0,76.0
Ravi Shankar,1920-04-07,16:00:00,Varanasi,25.3201,82.9875,5.5,Astro-Databank,90.0,75.0,60.0,65.0,70.0,95.0,90.0,78.0
Mother Teresa,1910-08-27,19:30:00,Skopje,41.9973,21.428,1.0,Astro-Databank,85.0,30.0,85.0,60.0,70.0,100.0,95.0,80.0
Swami Vivekananda,1863-01-12,06:56:00,Calcutta,22.5726,88.3639,5.5,Astro-Databank,85.0,50.0,75.0,60.0,60.0,99.0,92.0,72.0
Sri Ramakrishna Paramahamsa,1836-02-18,10:30:00,Kamarhati,22.65,88.3667,5.5,Astro-Databank,75.0,30.0,80.0,65.0,70.0,100.0,95.0,75.0
Rammohan Roy,1772-05-22,12:00:00,Radhanagar,25.5,89.5,5.5,Astro-Databank,85.0,60.0,75.0,80.0,75.0,95.0,88.0,77.0
Savitribai Phule,1831-01-03,06:00:00,Naigaum,18.9577,75.3269,5.5,Astro-Databank,85.0,50.0,75.0,70.0,80.0,95.0,88.0,78.0
Sri Aurobindo,1872-08-15,05:45:00,Calcutta,22.5726,88.3639,5.5,Astro-Databank,85.0,45.0,80.0,70.0,75.0,99.0,93.0,78.0
Napoleon Bonaparte,1769-08-15,11:49:00,Ajaccio Corsica,41.9227,8.7382,1.0,VedAstro,98.0,95.0,55.0,70.0,65.0,60.0,95.0,65.0
John F. Kennedy,1917-05-29,15:00:00,Boston Massachusetts,42.3601,-71.0589,-5.0,VedAstro,90.0,95.0,65.0,90.0,50.0,75.0,88.0,75.0
Leonardo da Vinci,1452-04-15,14:00:00,Vinci Italy,43.8081,11.0304,1.0,VedAstro,98.0,80.0,60.0,70.0,70.0,85.0,96.0,80.0
Pablo Picasso,1881-10-25,23:15:00,Malaga Spain,36.7213,-3.7385,1.0,VedAstro,95.0,90.0,50.0,75.0,75.0,80.0,92.0,75.0
Vincent van Gogh,1853-03-30,11:00:00,Groot-Zundert Netherlands,51.5,4.8167,1.0,VedAstro,85.0,60.0,45.0,50.0,50.0,90.0,85.0,50.0
Ludwig van Beethoven,1770-12-17,11:45:00,Bonn Germany,50.7365,7.0999,1.0,VedAstro,92.0,75.0,45.0,50.0,55.0,85.0,90.0,60.0
Wolfgang Amadeus Mozart,1756-01-27,19:30:00,Salzburg Austria,47.8096,13.055,1.0,VedAstro,95.0,85.0,60.0,80.0,50.0,85.0,93.0,70.0
Freddie Mercury,1946-09-05,14:30:00,Zanzibar Tanzania,-6.1667,39.2,3.0,VedAstro,90.0,85.0,60.0,65.0,55.0,85.0,88.0,75.0
The Beatles (John Lennon),1940-10-09,19:00:00,Liverpool England,53.4084,-2.9916,0.0,VedAstro,92.0,90.0,55.0,75.0,70.0,85.0,90.0,80.0
Pelé,1940-10-21,03:30:00,Três Corações Brazil,-22.4419,-45.4627,-3.0,VedAstro,92.0,95.0,75.0,90.0,80.0,75.0,90.0,85.0
Andrew Carnegie,1835-11-25,06:30:00,Dunfermline Scotland,56.062,-3.4322,0.0,VedAstro,92.0,99.0,70.0,85.0,75.0,75.0,90.0,80.0
John D. Rockefeller,1839-07-08,11:00:00,Richford New York,43.9948,-75.8615,-5.0,VedAstro,90.0,100.0,65.0,80.0,70.0,70.0,88.0,75.0
Henry Ford,1863-07-30,19:30:00,Wayne County Michigan,42.315,-83.1234,-5.0,VedAstro,92.0,98.0,60.0,75.0,75.0,60.0,90.0,75.0
Socrates,1469-05-18,12:00:00,Athens Greece,37.9838,23.7275,2.0,VedAstro,85.0,70.0,55.0,65.0,60.0,95.0,88.0,75.0
Aristotle,1384-04-23,14:30:00,Stagira Greece,40.6524,23.7681,2.0,VedAstro,90.0,75.0,65.0,75.0,70.0,90.0,92.0,80.0
Plato,1427-05-07,10:00:00,Athens Greece,37.9838,23.7275,2.0,VedAstro,88.0,70.0,60.0,70.0,65.0,95.0,90.0,75.0
Charlie Chaplin,1889-04-16,03:00:00,London England,51.5074,-0.1278,0.0,VedAstro,90.0,88.0,60.0,80.0,75.0,80.0,88.0,75.0
Cary Grant,1904-01-18,01:30:00,Bristol England,51.4545,-2.5879,0.0,VedAstro,88.0,88.0,70.0,80.0,80.0,70.0,86.0,80.0
Jane Goodall,1934-04-03,04:00:00,London England,51.5074,-0.1278,0.0,VedAstro,88.0,75.0,70.0,75.0,80.0,95.0,87.0,85.0
Richard Dawkins,1941-03-26,20:00:00,Nairobi Kenya,-1.2865,36.8172,3.0,VedAstro,90.0,80.0,65.0,70.0,75.0,85.0,88.0,80.0
Margaret Thatcher (verified),1925-10-13,09:00:00,Grantham England,52.9141,-0.6437,0.0,VedAstro,92.0,90.0,55.0,70.0,75.0,60.0,90.0,70.0
Vladimir Putin,1952-10-01,09:30:00,Saint Petersburg Russia,59.9311,30.3609,3.0,VedAstro,90.0,85.0,60.0,75.0,80.0,60.0,88.0,70.0
Steve Wozniak,1950-08-11,11:00:00,San Jose California,37.3382,-121.8863,-8.0,VedAstro,90.0,85.0,70.0,80.0,80.0,75.0,88.0,80.0
Walt Disney,1901-12-05,01:00:00,Chicago Illinois,41.8781,-87.6298,-6.0,VedAstro,92.0,95.0,65.0,85.0,75.0,80.0,90.0,85.0
Alfred Hitchcock,1899-08-13,21:00:00,London England,51.5074,-0.1278,0.0,VedAstro,90.0,90.0,60.0,70.0,75.0,75.0,88.0,75.0
Orson Welles,1915-05-06,23:15:00,Kenosha Wisconsin,42.5834,-87.8206,-6.0,VedAstro,88.0,85.0,55.0,65.0,70.0,80.0,86.0,70.0
Arnold Schwarzenegger,1947-07-30,04:10:00,Thal Austria,47.3667,14.75,1.0,VedAstro,92.0,95.0,70.0,85.0,88.0,75.0,90.0,85.0
Bruce Lee,1940-11-27,07:41:00,San Francisco California,37.7749,-122.4194,-8.0,VedAstro,95.0,88.0,65.0,80.0,75.0,80.0,92.0,85.0
Tim Cook,1960-11-01,08:30:00,"Mobile, Alabama",30.6954,-88.0399,-6.0,Astro-Databank,92.0,95.0,65.0,70.0,85.0,70.0,90.0,82.0
Larry Ellison,1944-08-17,07:30:00,"New York, New York",40.7128,-74.006,-5.0,Astro-Databank,95.0,98.0,60.0,75.0,80.0,65.0,92.0,80.0
